,Dim1,FactValueNumeric,Code,Location,LifeExpectancy
127,Cities,44.35,SEN,Senegal,68.526
128,Cities,45.36,GIN,Guinea,59.72
129,Cities,45.39,PRK,Democratic People's Republic of Korea,73.198
130,Cities,45.42,SLE,Sierra Leone,60.255
131,Cities,45.44,IRQ,Iraq,71.576
132,Cities,46.63,UZB,Uzbekistan,71.344
133,Cities,48.51,MLI,Mali,59.664
134,Cities,50.12,BGD,Bangladesh,72.806
135,Cities,51.29,BFA,Burkina Faso,60.039
136,Cities,51.59,BHR,Bahrain,80.019
137,Cities,53.18,PAK,Pakistan,66.756
138,Cities,54.06,CIV,Côte d’Ivoire,59.319
139,Cities,54.56,NGA,Nigeria,52.91
140,Cities,54.63,GHA,Ghana,64.74
141,Cities,54.7,MRT,Mauritania,65.687
142,Cities,55.57,IND,India,70.91
143,Cities,58.21,MNG,Mongolia,71.822
144,Cities,59.53,NER,Niger,62.897
145,Cities,6.07,ISL,Iceland,83.1634146341463
146,Cities,6.4,FIN,Finland,81.9829268292683
147,Cities,6.67,EST,Estonia,78.6463414634147
148,Cities,6.71,SWE,Sweden,83.109756097561
149,Cities,6.87,CAN,Canada,82.0487804878049
150,Cities,6.96,BRN,Brunei Darussalam,74.748
151,Cities,60.7,TCD,Chad,53.259
152,Cities,60.92,SAU,Saudi Arabia,77.304
153,Cities,60.94,QAT,Qatar,80.99
154,Cities,62.02,CMR,Cameroon,61.584
155,Cities,62.65,TJK,Tajikistan,70.867
156,Cities,66.42,EGY,Egypt,71.358
157,Cities,67.67,KWT,Kuwait,79.685
158,Cities,7.49,NOR,Norway,82.9585365853659
159,Cities,7.57,USA,United States of America,78.7878048780488
160,Cities,7.98,DOM,Dominican Republic,73.577
161,Cities,7.98,PRT,Portugal,81.6756097560976
162,Cities,8.46,URY,Uruguay,77.508
163,Cities,8.54,NZL,New Zealand,81.7073170731707
164,Cities,8.66,IRL,Ireland,82.7024390243903
165,Cities,8.74,LUX,Luxembourg,82.6390243902439
166,Cities,8.78,SLB,Solomon Islands,70.382
167,Cities,84.04,AFG,Afghanistan,63.565
168,Cities,9.08,AUS,Australia,82.9
169,Cities,9.21,MCO,Monaco,
170,Cities,9.67,PNG,Papua New Guinea,65.474
171,Cities,9.83,BRB,Barbados,77.257
172,Cities,9.87,CHE,Switzerland,83.9048780487805
173,Cities,9.89,MUS,Mauritius,74.2358536585366
