,Code,GDPperCapita
285,MEA,7338.01401576618
286,MNA,3439.30433515147
287,TMN,3436.759720384
288,MIC,5448.65078025163
289,NAC,63198.7013177896
291,OED,39531.6603463651
292,OSS,13540.4002873269
293,PSS,4233.4136752437
294,PST,45700.938132739
295,PRE,1455.60148016876
296,SST,12427.5767384523
297,SAS,1962.80287524759
298,TSA,1962.80287524759
299,SSF,1601.1217636118
300,SSA,1599.75918622443
301,TSS,1601.1217636118
302,,9534.00511269487
303,WLD,11319.7541087933
304,AFG,500.522664145294
305,ALB,5396.21586434732
306,DZA,4022.15018374716
307,ASM,13672.576657298
308,AND,41327.5020305489
309,AGO,2142.23875712854
310,ATG,18319.4560540762
311,ARG,9963.6725062053
312,ARM,4828.50517771789
313,ABW,31650.7605367511
314,AUS,54941.4341793948
315,AUT,50070.4033482901
316,AZE,4805.75371765917
317,BHS,32610.4850490784
318,BHR,25869.1129129041
319,BGD,2122.07885124799
320,BRB,19002.9623813263
321,BLR,6837.71782606351
322,BEL,46638.6813054855
323,BLZ,6210.56554311929
324,BEN,1170.96553298099
325,BMU,116153.166121638
326,BTN,3303.96421053812
327,BOL,3472.38083075685
328,BIH,6011.37067052755
329,BWA,6679.16767381458
330,BRA,8845.25911841876
332,BRN,30748.7374865551
333,BGR,9879.33434282707
334,BFA,772.166894917835
335,BDI,216.972968085123
336,CPV,3434.56274492859
337,KHM,1671.38538492515
338,CMR,1538.68794663506
339,CAN,46328.6718408497
340,CYM,89871.9131394463
341,CAF,426.408762581226
342,TCD,701.621216594764
344,CHL,14631.9468779229
345,CHN,10143.8381955585
346,COL,6438.06018290435
347,COM,1510.79735809965
348,COD,575.882790805511
349,COG,2288.80813763495
350,CRI,12669.341068679
351,CIV,2238.81100489009
352,HRV,15331.8830536722
353,CUB,9139.41585605765
354,CUW,19024.1771511889
355,CYP,29417.138671875
356,CZE,23664.8478631108
357,DNK,59592.9806886454
358,DJI,2876.04366371536
359,DMA,8561.58701121461
360,DOM,8173.33800656006
361,ECU,6233.25816692363
362,EGY,2869.57658843903
363,SLV,4280.28840404719
364,GNQ,7317.39018853546
366,EST,23424.4847073518
367,SWZ,3843.3773913814
368,ETH,840.449451464836
369,FRO,63383.196148417
370,FJI,5968.30055949885
371,FIN,48629.8582283032
372,FRA,40494.8982936276
373,PYF,20023.5047046924
374,GAB,7523.8622784598
375,GMB,722.874793145171
376,GEO,4696.15058555612
